"Township","Area","State","Primary_Type","Multi_Type","Primary_Tenure","Median_PSF","Transactions","Actual","Predicted","Error","Percent_Error"
"taman rimbayu","tanjong duabelas","selangor","terrace house",0,0,499.999999999999,27.9999999999999,759999.99999999,764690.950097628,4690.95009763783,0.617230276004986
"bertam perdana 2 - lakeview","kepala batas","penang","terrace house",1,1,271,27.9999999999999,618743.999999985,399355.077957735,-219388.92204225,-35.4571393083821
"taman soon hup(jalan permai)","sibu","sarawak","terrace house",0,0,178.999999999999,27.9999999999999,377499.999999994,300321.658613842,-77178.341386152,-20.4445937446763
"bandar metro puchong","puchong","selangor","terrace house",0,0,546.999999999999,27.9999999999999,925000.000000036,853844.12878769,-71155.8712123452,-7.69252661755054
"tabuan jaya","kuching","sarawak","terrace house",1,0,216.000000000001,27.9999999999999,624999.999999976,324316.917106301,-300683.082893675,-48.1092932629899
"rampai court","wangsa maju","kuala lumpur","apartment",0,1,389.999999999999,27.9999999999999,230999.999999993,326197.744735744,95197.7447357507,41.2111449072526
"nusa heights (nusa puncak)","iskandar puteri (nusajaya)","johor","apartment",0,1,451.000000000001,27.9999999999999,414999.999999985,377104.78583302,-37895.2141669649,-9.13137690770272
"taman seri ipil","nibong tebal","penang","semi d",1,1,184.999999999999,27,519999.999999995,348051.366037315,-171948.63396268,-33.0670449928233
"setia impian 4","setia alam","selangor","terrace house",0,1,537.999999999998,27,704999.999999996,818431.468718508,113431.468718512,16.0895700309947
"taman rawang perdana","rawang","selangor","terrace house",0,1,322.000000000001,27,460000.00000001,474895.543497077,14895.5434970664,3.23816162979698
"bandar amanjaya (zon mawar)","sungai petani","kedah","terrace house",1,1,168,27,239999.999999993,260894.36641496,20894.3664149663,8.70598600623621
"taman desa murni","butterworth","penang","terrace house",1,1,396,27,350000.000000001,622882.28267034,272882.282670338,77.9663664772392
